# Name	AO	GBT	AO_UWB	GBT_UWB	DSA2K_full	DSA2K_half	DSA2K_qtr	VLA_LS	ngVLA_Band12
J225457+573803	-2	0.0295138132027	-2	0.0211865267851	0.0194469224326	0.0197085742086	0.02049013212	0.0334310986437	0.0304867666016
J125018-352913	-2	0.0566245750062	-2	0.0429990130404	0.0343028012285	0.0360064861046	0.0401115136062	0.0770665185291	0.0676678366101
J084223-162450	-2	0.0617401169894	-2	0.0461328761456	0.0418689441457	0.0436725382386	0.0464776748153	0.0642039278572	0.0595150339859
J112828-132603	-2	0.109308191061	-2	0.0765490989382	0.050669681514	0.0562589273194	0.0696149456631	0.146554792159	0.106594964337
J184933+202543	0.169504856623	0.269618603775	0.0531057320302	0.182121369575	0.0511057815179	0.080341999558	0.146910368336	0.39783699734	0.267197237762
J200538+313936	0.0702719111267	0.098582159898	0.0473625979488	0.0677151239815	0.0536462724807	0.0595931671117	0.070028823831	0.107893774729	0.0821187200599
J011216-224403	-2	0.270156184193	-2	0.192207062939	0.0566861651741	0.0821326068671	0.143758163837	0.469895048504	0.334448336518
J203642+282533	0.128155655053	0.195750652225	0.0607391405466	0.126269888104	0.0597090605547	0.072854595228	0.110722553551	0.247841225697	0.163360008857
J152159-261119	-2	0.116381138509	-2	0.0877770375329	0.0685764588738	0.0736524773997	0.0831144664693	0.150613800128	0.123597439274
J211919+415859	-2	0.27762752854	-2	0.197685943874	0.0711996709625	0.0922436519848	0.149105934957	0.49799774405	0.379472417528
J024858+255754	0.0794745163847	0.127109886646	0.069731575336	0.103181016381	0.0819219431028	0.097203137542	0.115120096634	0.118763481677	0.0913730716918
J020944+250656	0.25037283913	0.523657910808	0.104901142486	0.374606397375	0.0834776826316	0.141419103327	0.268556439985	0.994338868755	0.745866369358
J204638+334131	0.193728958827	0.295919894235	0.0952164820738	0.209613433235	0.0908433530696	0.109804956844	0.164610576537	0.491149797372	0.363977622088
J214643+111603	0.186296078647	0.317891354137	0.0991318828763	0.225785994224	0.092935926882	0.113806272554	0.173780989822	0.54270094962	0.398641617779
J193859+025320	0.25982892731	0.437743665417	0.106213111372	0.311843757975	0.0943677918581	0.133784399995	0.231290097102	0.813973283845	0.63678784379
J203313+110758	0.321311168625	0.539391456571	0.119754436126	0.387751157586	0.103111135211	0.15630690695	0.280708521326	1.03300598714	0.784254509774
J175404+013715	0.206934373421	0.344590195771	0.108866491781	0.236655455979	0.103915602139	0.12692310016	0.193269760795	0.511892961915	0.372190273423
J213547+570028	-2	0.184037554136	-2	0.129708736993	0.115613523401	0.117290689276	0.123755448033	0.215178827449	0.191268443195
J092405-360439	-2	0.207366376466	-2	0.146736464733	0.120992654457	0.123976628235	0.135188658705	0.267954641282	0.224531228429
J064204-022860	-2	0.693800711768	-2	0.474919275784	0.123162793863	0.198770806315	0.369963051643	1.0733387595	0.727002490787
J213013+602743	-2	0.187690550312	-2	0.138565399306	0.128768162715	0.133620122401	0.140393465203	0.185843396842	0.177082409454
J070917-004613	-2	0.425412726116	-2	0.313521050775	0.150061944363	0.18493329294	0.262145321503	0.691695581163	0.48196935755
J234013+641040	-2	0.920793459276	-2	0.605136025577	0.16008112289	0.2655527339	0.499635742561	1.28413119068	0.836281609128
J153945-021158	-2	0.285707121312	-2	0.203056227699	0.166799316023	0.170630858628	0.185165169762	0.39620728287	0.336210455063
J180546+071914	0.1433664908	0.253073297113	0.146728185483	0.220371674278	0.167012719239	0.197391668321	0.227983069299	0.311948412936	0.224805605925
J221630+160013	0.602886266926	1.24841694625	0.228253763356	0.888624067979	0.174602243515	0.327515029529	0.643700466411	2.26750533929	1.64832513968
J093201-141805	-2	1.35488322038	-2	0.95415548556	0.177189046464	0.351681514946	0.70200819319	2.32689893268	1.61294421259
J095313+623518	-2	1.35644824629	-2	0.971769363724	0.180128702916	0.348341489182	0.690548093809	2.57780826415	1.90471282529
J183854-242122	-2	0.348947910431	-2	0.246562177994	0.180506399408	0.188452435914	0.217343955622	0.509993917656	0.42779782517
J200543+511022	-2	1.04624527175	-2	0.741664627502	0.183978151386	0.29550348271	0.54870283248	1.85297530014	1.36210779265
J172323+204757	0.429026283998	0.787349582568	0.20655964297	0.554670895464	0.187940623566	0.25324805361	0.423532351616	1.32057987994	0.950555642982
J183335-174925	-2	0.28971246695	-2	0.20242072322	0.191145691683	0.192757226692	0.199072726092	0.303807550902	0.285146969731
J143216-162033	-2	1.07969353544	-2	0.748246367592	0.195795718436	0.310345354875	0.572909389092	1.73189757844	1.18348655613
J202927+335536	0.617702591863	1.21868754271	0.237281121402	0.845743316843	0.198675595974	0.339353376698	0.646454201614	1.98268165709	1.41699846262
J192022+231854	0.308162210732	0.336026322827	0.210807761911	0.22973933783	0.21077191934	0.213966015394	0.226256706946	0.349096868474	0.314893572737
J174441+030642	0.769700843522	1.58160488171	0.281267049899	1.11753144252	0.214555004827	0.414432747102	0.821320301461	2.83391292896	2.13669812733
J145449+392045	-2	1.04745389457	-2	0.727385011806	0.223401674094	0.320442459222	0.560163429693	1.67413394255	1.14295296297
J170636-404130	-2	1.3650293163	-2	0.850214157145	0.226257599125	0.386534827245	0.736393781458	1.67869470469	1.31036646511
J045720-435623	-2	1.60407068555	-2	1.12881599242	0.2273968064	0.424448057563	0.833032689873	2.73930334004	1.88968267143
J011717+280528	0.634721290004	1.22253724294	0.274074839132	0.851964882651	0.240413249448	0.361536725123	0.649883505705	1.98825609103	1.36939855209
J173243-212607	-2	0.327544506514	-2	0.31868405642	0.242269276924	0.293640250155	0.33934296398	0.286866056039	0.213100250636
J233611+142529	0.923422884527	1.95611351907	0.347246065174	1.39440777775	0.257007070874	0.504294841556	1.0036668326	3.56712666792	2.56649664071
J233050+282220	0.322668180009	0.462500474999	0.237600620128	0.372635899288	0.260629629408	0.295490296094	0.349253561743	0.70076536821	0.51134729005
J062725+422038	-2	0.377880056021	-2	0.267352617869	0.261320806609	0.26196407917	0.264508439211	0.395071534231	0.382212802889
